product,date,min,max,avg
Cabbage,2024-02-26,25.0,35.0,30.0
Cauli Local,2024-02-26,25.0,30.0,27.5
Cauli Local(Jyapu),2024-02-26,35.0,45.0,40.0
Cauli Terai,2024-02-26,20.0,30.0,25.0
Raddish Red,2024-02-26,50.0,60.0,55.0
Raddish White(Local),2024-02-26,25.0,30.0,27.5
Raddish White(Hybrid),2024-02-26,30.0,35.0,32.5
Brinjal Long,2024-02-26,40.0,50.0,45.0
Brinjal Round,2024-02-26,40.0,50.0,45.0
Green Peas,2024-02-26,80.0,100.0,90.0
French Bean(Local),2024-02-26,120.0,130.0,125.0
French Bean(Hybrid),2024-02-26,120.0,130.0,125.0
French Bean(Rajma),2024-02-26,100.0,110.0,105.0
Sword Bean,2024-02-26,70.0,80.0,76.67
Bitter Gourd,2024-02-26,120.0,140.0,130.0
Bottle Gourd,2024-02-26,50.0,60.0,55.0
Pumpkin,2024-02-26,40.0,50.0,45.0
Squash(Long),2024-02-26,40.0,50.0,45.0
Squash(Round),2024-02-26,50.0,60.0,55.0
Turnip,2024-02-26,70.0,80.0,76.67
Okara,2024-02-26,100.0,110.0,105.0
Sweet Potato,2024-02-26,60.0,70.0,66.67
Barela,2024-02-26,50.0,60.0,56.67
Arum,2024-02-26,80.0,90.0,86.67
Christophine,2024-02-26,35.0,40.0,38.33
Brd Leaf Mustard,2024-02-26,30.0,40.0,36.67
Spinach Leaf,2024-02-26,30.0,40.0,36.67
Cress Leaf,2024-02-26,30.0,40.0,36.67
Mustard Leaf,2024-02-26,25.0,30.0,27.5
Fenugreek Leaf,2024-02-26,30.0,40.0,36.67
Onion Green,2024-02-26,70.0,80.0,76.67
Bakula,2024-02-26,80.0,90.0,86.67
Yam,2024-02-26,60.0,70.0,66.67
Mushroom(Kanya),2024-02-26,130.0,150.0,140.0
Mushroom(Button),2024-02-26,300.0,350.0,325.0
Asparagus,2024-02-26,1500.0,2000.0,1750.0
Brocauli,2024-02-26,40.0,50.0,45.0
Sugarbeet,2024-02-26,60.0,70.0,65.0
Drumstick,2024-02-26,130.0,150.0,140.0
Red Cabbbage,2024-02-26,60.0,70.0,65.0
Lettuce,2024-02-26,70.0,80.0,75.0
Knolkhol,2024-02-26,60.0,70.0,65.0
Celery,2024-02-26,90.0,100.0,96.67
Parseley,2024-02-26,220.0,250.0,235.0
Fennel Leaf,2024-02-26,30.0,40.0,35.0
Mint,2024-02-26,220.0,250.0,235.0
Tamarind,2024-02-26,140.0,150.0,146.67
Bamboo Shoot,2024-02-26,90.0,100.0,96.67
Tofu,2024-02-26,150.0,170.0,160.0
Gundruk,2024-02-26,250.0,300.0,275.0
Apple(Fuji),2024-02-26,300.0,350.0,325.0
Banana,2024-02-26,130.0,140.0,136.67
Lime,2024-02-26,250.0,300.0,272.0
Pomegranate,2024-02-26,280.0,300.0,290.0
Grapes(Green),2024-02-26,120.0,130.0,125.0
Grapes(Black),2024-02-26,180.0,200.0,190.0
Orange(Nepali),2024-02-26,150.0,160.0,155.0
Orange(Indian),2024-02-26,80.0,90.0,86.67
Water Melon(Green),2024-02-26,60.0,70.0,65.0
Sweet Orange,2024-02-26,140.0,150.0,146.67
Mandarin,2024-02-26,220.0,250.0,235.0
Pineapple,2024-02-26,180.0,200.0,190.0
Cucumber(Local),2024-02-26,140.0,150.0,146.67
Cucumber(Hybrid),2024-02-26,60.0,70.0,66.67
Jack Fruit,2024-02-26,110.0,120.0,116.67
Lemon,2024-02-26,50.0,60.0,56.67
Pear(Chinese),2024-02-26,220.0,250.0,235.0
Papaya(Nepali),2024-02-26,70.0,80.0,76.67
Papaya(Indian),2024-02-26,70.0,80.0,76.67
Guava,2024-02-26,150.0,160.0,155.0
Mombin,2024-02-26,120.0,130.0,126.67
Sugarcane,2024-02-26,70.0,80.0,75.0
Kinnow,2024-02-26,90.0,100.0,96.67
Strawberry,2024-02-26,200.0,300.0,250.0
Amla,2024-02-26,80.0,90.0,86.67
Ginger,2024-02-26,220.0,240.0,230.0
Chilli Dry,2024-02-26,400.0,450.0,425.0
Chilli Green,2024-02-26,90.0,100.0,96.67
Chilli Green(Bullet),2024-02-26,90.0,100.0,96.67
Chilli Green(Machhe),2024-02-26,90.0,100.0,96.67
Chilli Green(Akbare),2024-02-26,250.0,280.0,265.0
Capsicum,2024-02-26,90.0,100.0,95.0
Garlic Green,2024-02-26,120.0,130.0,126.67
Coriander Green,2024-02-26,40.0,50.0,46.67
Garlic Dry Chinese,2024-02-26,260.0,280.0,270.0
Clive Green,2024-02-26,100.0,150.0,125.0
Fish Fresh(Rahu),2024-02-26,340.0,360.0,350.0
Fish Fresh(Bachuwa),2024-02-26,250.0,270.0,260.0
Fish Fresh(Chhadi),2024-02-26,240.0,280.0,260.0
Fish Fresh(Mungari),2024-02-26,350.0,370.0,360.0
Tree Tomato,2024-02-26,140.0,150.0,145.0
Tomato Big(Nepali),2024-02-25,50.0,60.0,55.0
Tomato Big(Indian),2024-02-25,60.0,70.0,65.0
Tomato Small(Local),2024-02-25,20.0,25.0,22.33
Tomato Small(Tunnel),2024-02-25,25.0,30.0,27.67
Tomato Small(Indian),2024-02-25,20.0,25.0,22.33
Tomato Small(Terai),2024-02-25,20.0,25.0,22.33
Potato Red,2024-02-25,32.0,35.0,33.33
Potato Red(Indian),2024-02-25,32.0,35.0,33.33
Onion Dry (Indian),2024-02-25,74.0,78.0,76.0
Carrot(Local),2024-02-25,30.0,40.0,35.0
Carrot(Terai),2024-02-25,25.0,35.0,30.0
Cabbage(Local),2024-02-25,30.0,40.0,35.0
Cabbage,2024-02-25,25.0,35.0,30.0
Cauli Local,2024-02-25,25.0,30.0,27.67
Cauli Local(Jyapu),2024-02-25,40.0,50.0,45.0
Raddish Red,2024-02-25,35.0,40.0,37.67
Raddish White(Local),2024-02-25,25.0,30.0,27.67
Raddish White(Hybrid),2024-02-25,30.0,35.0,32.67
Brinjal Long,2024-02-25,35.0,45.0,40.0
Brinjal Round,2024-02-25,40.0,50.0,45.0
Green Peas,2024-02-25,110.0,120.0,115.33
French Bean(Local),2024-02-25,120.0,140.0,130.0
French Bean(Hybrid),2024-02-25,120.0,140.0,130.0
French Bean(Rajma),2024-02-25,110.0,120.0,115.0
Sword Bean,2024-02-25,80.0,90.0,85.0
Bitter Gourd,2024-02-25,130.0,140.0,135.0
Bottle Gourd,2024-02-25,50.0,60.0,55.0
Pointed Gourd(Terai),2024-02-25,280.0,300.0,290.0
Smooth Gourd,2024-02-25,120.0,130.0,125.0
Pumpkin,2024-02-25,40.0,50.0,45.0
Squash(Long),2024-02-25,40.0,50.0,45.0
Squash(Round),2024-02-25,60.0,70.0,65.0
Turnip,2024-02-25,70.0,80.0,75.0
Okara,2024-02-25,90.0,100.0,95.0
Sweet Potato,2024-02-25,60.0,70.0,65.0
Barela,2024-02-25,50.0,60.0,55.0
Arum,2024-02-25,70.0,80.0,75.0
Christophine,2024-02-25,40.0,50.0,45.0
Brd Leaf Mustard,2024-02-25,30.0,40.0,35.0
Spinach Leaf,2024-02-25,30.0,40.0,35.0
Cress Leaf,2024-02-25,30.0,40.0,35.0
Mustard Leaf,2024-02-25,30.0,40.0,35.0
Fenugreek Leaf,2024-02-25,30.0,40.0,35.0
Onion Green,2024-02-25,70.0,80.0,75.0
Bakula,2024-02-25,80.0,90.0,85.0
Yam,2024-02-25,70.0,80.0,75.0
Mushroom(Kanya),2024-02-25,120.0,140.0,130.0
Mushroom(Button),2024-02-25,280.0,320.0,300.0
Asparagus,2024-02-25,1500.0,2000.0,1766.67
Brocauli,2024-02-25,40.0,50.0,45.0
Sugarbeet,2024-02-25,60.0,70.0,65.0
Drumstick,2024-02-25,120.0,150.0,136.67
Red Cabbbage,2024-02-25,50.0,60.0,55.0
Lettuce,2024-02-25,70.0,80.0,75.0
Knolkhol,2024-02-25,50.0,60.0,55.0
Celery,2024-02-25,90.0,100.0,95.0
Parseley,2024-02-25,220.0,250.0,233.33
Fennel Leaf,2024-02-25,30.0,40.0,35.0
Mint,2024-02-25,220.0,250.0,233.33
Turnip A,2024-02-25,30.0,40.0,35.0
Tamarind,2024-02-25,140.0,150.0,145.0
Bamboo Shoot,2024-02-25,90.0,100.0,95.0
Tofu,2024-02-25,150.0,170.0,160.0
Gundruk,2024-02-25,250.0,300.0,276.67
Apple(Fuji),2024-02-25,300.0,350.0,326.67
Banana,2024-02-25,130.0,140.0,135.0
Lime,2024-02-25,250.0,300.0,276.67
Pomegranate,2024-02-25,280.0,300.0,290.0
Grapes(Green),2024-02-25,120.0,140.0,130.0
Grapes(Black),2024-02-25,180.0,200.0,190.0
Orange(Nepali),2024-02-25,150.0,160.0,155.0
Orange(Indian),2024-02-25,90.0,100.0,95.0
Water Melon(Green),2024-02-25,60.0,70.0,65.0
Sweet Orange,2024-02-25,140.0,150.0,145.0
Mandarin,2024-02-25,220.0,250.0,233.33
Pineapple,2024-02-25,180.0,200.0,190.0
Cucumber(Local),2024-02-25,140.0,150.0,145.0
Cucumber(Hybrid),2024-02-25,60.0,70.0,65.0
Jack Fruit,2024-02-25,110.0,120.0,115.0
Lemon,2024-02-25,50.0,60.0,55.0
Pear(Chinese),2024-02-25,220.0,250.0,233.33
Papaya(Nepali),2024-02-25,70.0,80.0,75.0
Papaya(Indian),2024-02-25,80.0,90.0,85.0
Guava,2024-02-25,140.0,150.0,145.0
Mombin,2024-02-25,110.0,120.0,115.0
Sugarcane,2024-02-25,70.0,80.0,75.0
Kinnow,2024-02-25,90.0,100.0,95.0
Strawberry,2024-02-25,200.0,300.0,250.0
Kiwi,2024-02-25,400.0,500.0,450.0
Avocado,2024-02-25,400.0,500.0,450.0
Amla,2024-02-25,80.0,90.0,85.0
Ginger,2024-02-25,200.0,220.0,210.0
Chilli Dry,2024-02-25,400.0,450.0,426.67
Chilli Green,2024-02-25,80.0,90.0,85.0
Chilli Green(Bullet),2024-02-25,80.0,90.0,85.0
Chilli Green(Machhe),2024-02-25,90.0,100.0,95.0
Chilli Green(Akbare),2024-02-25,250.0,300.0,276.67
Capsicum,2024-02-25,110.0,120.0,115.0
Garlic Green,2024-02-25,110.0,120.0,115.0
Coriander Green,2024-02-25,60.0,70.0,65.0
Garlic Dry Chinese,2024-02-25,280.0,300.0,290.0
Clive Dry,2024-02-25,180.0,200.0,190.0
Clive Green,2024-02-25,80.0,90.0,85.0
Fish Fresh(Rahu),2024-02-25,340.0,360.0,350.0
Fish Fresh(Bachuwa),2024-02-25,250.0,270.0,260.0
Fish Fresh(Chhadi),2024-02-25,240.0,280.0,260.0
Fish Fresh(Mungari),2024-02-25,350.0,370.0,360.0
Tree Tomato,2024-02-25,140.0,150.0,145.0
Tomato Big(Nepali),2024-02-24,50.0,60.0,55.0
Tomato Big(Indian),2024-02-24,60.0,70.0,65.0
Tomato Small(Local),2024-02-24,15.0,20.0,17.5
Tomato Small(Tunnel),2024-02-24,25.0,30.0,27.5
Tomato Small(Indian),2024-02-24,15.0,20.0,17.5
Tomato Small(Terai),2024-02-24,20.0,30.0,25.0
Potato Red,2024-02-24,32.0,35.0,33.8
Potato Red(Indian),2024-02-24,34.0,36.0,35.0
Onion Dry (Indian),2024-02-24,74.0,78.0,75.6
Carrot(Local),2024-02-24,30.0,40.0,35.0
Carrot(Terai),2024-02-24,25.0,30.0,28.33
Cabbage(Local),2024-02-24,30.0,40.0,35.0
Cabbage(Terai),2024-02-24,25.0,35.0,30.0
Cauli Local,2024-02-24,25.0,30.0,27.0
Cauli Local(Jyapu),2024-02-24,40.0,50.0,45.0
Raddish Red,2024-02-24,35.0,40.0,37.5
Raddish White(Local),2024-02-24,25.0,30.0,27.5
Raddish White(Hybrid),2024-02-24,30.0,35.0,32.5
Brinjal Long,2024-02-24,35.0,45.0,40.0
Brinjal Round,2024-02-24,40.0,50.0,45.0
Green Peas,2024-02-24,110.0,120.0,115.0
French Bean(Local),2024-02-24,120.0,140.0,130.0
French Bean(Hybrid),2024-02-24,120.0,140.0,130.0
French Bean(Rajma),2024-02-24,110.0,120.0,116.67
Sword Bean,2024-02-24,70.0,80.0,76.67
Bitter Gourd,2024-02-24,130.0,140.0,135.0
Bottle Gourd,2024-02-24,50.0,60.0,56.67
Pointed Gourd(Terai),2024-02-24,280.0,300.0,290.0
Smooth Gourd,2024-02-24,120.0,130.0,125.0
Pumpkin,2024-02-24,45.0,50.0,48.33
Squash(Long),2024-02-24,40.0,50.0,45.0
Squash(Round),2024-02-24,60.0,70.0,66.67
Turnip,2024-02-24,70.0,80.0,76.67
Okara,2024-02-24,110.0,120.0,115.0
Sweet Potato,2024-02-24,60.0,70.0,66.67
Barela,2024-02-24,50.0,60.0,55.0
Arum,2024-02-24,80.0,90.0,86.67
Christophine,2024-02-24,40.0,50.0,45.0
Brd Leaf Mustard,2024-02-24,30.0,40.0,36.67
Spinach Leaf,2024-02-24,30.0,40.0,36.67
Cress Leaf,2024-02-24,30.0,40.0,36.67
Mustard Leaf,2024-02-24,25.0,30.0,27.5
Fenugreek Leaf,2024-02-24,30.0,40.0,36.67
Onion Green,2024-02-24,70.0,80.0,76.67
Bakula,2024-02-24,70.0,80.0,76.67
Yam,2024-02-24,60.0,70.0,66.67
Mushroom(Kanya),2024-02-24,120.0,140.0,130.0
Mushroom(Button),2024-02-24,300.0,350.0,325.0
Asparagus,2024-02-24,1500.0,2000.0,1750.0
Brocauli,2024-02-24,40.0,50.0,46.67
Sugarbeet,2024-02-24,60.0,70.0,66.67
Drumstick,2024-02-24,130.0,140.0,136.67
Red Cabbbage,2024-02-24,50.0,60.0,55.0
Lettuce,2024-02-24,70.0,80.0,76.67
Knolkhol,2024-02-24,50.0,60.0,56.67
Celery,2024-02-24,90.0,100.0,95.0
Parseley,2024-02-24,220.0,250.0,240.0
Fennel Leaf,2024-02-24,30.0,40.0,36.67
Mint,2024-02-24,220.0,250.0,235.0
Tamarind,2024-02-24,140.0,150.0,146.67
Bamboo Shoot,2024-02-24,90.0,100.0,96.67
Tofu,2024-02-24,150.0,170.0,160.0
Gundruk,2024-02-24,250.0,300.0,275.0
Apple(Fuji),2024-02-24,300.0,350.0,325.0
Banana,2024-02-24,130.0,140.0,136.67
Lime,2024-02-24,250.0,300.0,275.0
Pomegranate,2024-02-24,280.0,300.0,290.0
Grapes(Green),2024-02-24,120.0,140.0,130.0
Grapes(Black),2024-02-24,180.0,200.0,190.0
Orange(Nepali),2024-02-24,150.0,160.0,156.67
Orange(Indian),2024-02-24,90.0,100.0,95.0
Water Melon(Green),2024-02-24,60.0,70.0,66.67
Sweet Orange,2024-02-24,140.0,150.0,146.67
Mandarin,2024-02-24,220.0,250.0,235.0
Pineapple,2024-02-24,180.0,200.0,190.0
Cucumber(Local),2024-02-24,150.0,160.0,155.0
Cucumber(Hybrid),2024-02-24,60.0,70.0,66.67
Jack Fruit,2024-02-24,110.0,120.0,116.67
Lemon,2024-02-24,50.0,60.0,56.67
Pear(Chinese),2024-02-24,220.0,250.0,235.0
Papaya(Nepali),2024-02-24,70.0,80.0,76.67
Papaya(Indian),2024-02-24,70.0,80.0,76.67
Guava,2024-02-24,140.0,150.0,145.0
Mombin,2024-02-24,110.0,120.0,116.67
Sugarcane,2024-02-24,70.0,80.0,76.67
Kinnow,2024-02-24,90.0,100.0,95.0
Strawberry,2024-02-24,200.0,300.0,250.0
Avocado,2024-02-24,400.0,500.0,450.0
Amla,2024-02-24,70.0,80.0,75.0
Ginger,2024-02-24,200.0,220.0,210.0
Chilli Dry,2024-02-24,400.0,450.0,425.0
Chilli Green,2024-02-24,70.0,80.0,76.0
Chilli Green(Bullet),2024-02-24,80.0,90.0,86.0
Capsicum,2024-02-24,110.0,120.0,116.67
Garlic Green,2024-02-24,110.0,120.0,116.67
Coriander Green,2024-02-24,40.0,50.0,46.67
Garlic Dry Chinese,2024-02-24,280.0,300.0,290.0
Clive Dry,2024-02-24,180.0,200.0,190.0
Clive Green,2024-02-24,80.0,90.0,85.0
Fish Fresh(Rahu),2024-02-24,340.0,360.0,350.0
Fish Fresh(Bachuwa),2024-02-24,250.0,270.0,260.0
Fish Fresh(Chhadi),2024-02-24,240.0,280.0,260.0
Fish Fresh(Mungari),2024-02-24,350.0,370.0,360.0
Tree Tomato,2024-02-24,140.0,150.0,146.67
Tomato Big(Nepali),2024-02-23,50.0,60.0,55.0
Tomato Big(Indian),2024-02-23,60.0,70.0,65.0
Tomato Small(Local),2024-02-23,20.0,25.0,22.5
Tomato Small(Tunnel),2024-02-23,25.0,30.0,27.5
Tomato Small(Indian),2024-02-23,15.0,20.0,17.5
Tomato Small(Terai),2024-02-23,24.0,30.0,27.4
Potato Red,2024-02-23,32.0,36.0,34.0
Potato Red(Indian),2024-02-23,34.0,36.0,35.0
Onion Dry (Indian),2024-02-23,75.0,80.0,77.5
Carrot(Local),2024-02-23,30.0,40.0,35.0
Carrot(Terai),2024-02-23,25.0,30.0,27.5
Cabbage(Local),2024-02-23,30.0,40.0,35.0
Cabbage(Terai),2024-02-23,25.0,32.0,28.4
Cauli Local,2024-02-23,25.0,35.0,30.0
Cauli Local(Jyapu),2024-02-23,35.0,45.0,40.0
Cauli Terai,2024-02-23,20.0,30.0,25.0
Raddish Red,2024-02-23,35.0,40.0,37.5
Raddish White(Local),2024-02-23,25.0,30.0,27.5
Raddish White(Hybrid),2024-02-23,30.0,35.0,32.5
Brinjal Long,2024-02-23,40.0,50.0,45.0
Brinjal Round,2024-02-23,40.0,50.0,45.0
Green Peas,2024-02-23,110.0,120.0,115.0
French Bean(Local),2024-02-23,130.0,150.0,137.5
French Bean(Hybrid),2024-02-23,130.0,150.0,140.0
French Bean(Rajma),2024-02-23,100.0,110.0,105.0
Sword Bean,2024-02-23,70.0,80.0,76.67
Bitter Gourd,2024-02-23,120.0,140.0,130.0
Bottle Gourd,2024-02-23,50.0,60.0,56.67
Pointed Gourd(Terai),2024-02-23,280.0,300.0,290.0
Smooth Gourd,2024-02-23,130.0,140.0,135.0
Pumpkin,2024-02-23,50.0,55.0,52.5
Squash(Long),2024-02-23,60.0,70.0,66.67
Squash(Round),2024-02-23,60.0,70.0,66.67
Turnip,2024-02-23,70.0,80.0,75.0
Okara,2024-02-23,100.0,120.0,110.0
Sweet Potato,2024-02-23,60.0,70.0,66.67
Barela,2024-02-23,50.0,60.0,55.0
Arum,2024-02-23,80.0,90.0,86.67
Christophine,2024-02-23,40.0,50.0,45.0
Brd Leaf Mustard,2024-02-23,30.0,40.0,36.67
Spinach Leaf,2024-02-23,35.0,45.0,40.0
Cress Leaf,2024-02-23,35.0,45.0,40.0
Mustard Leaf,2024-02-23,30.0,40.0,35.0
Fenugreek Leaf,2024-02-23,35.0,45.0,40.0
Onion Green,2024-02-23,70.0,80.0,76.67
Bakula,2024-02-23,70.0,80.0,76.67
Yam,2024-02-23,60.0,70.0,63.33
Mushroom(Kanya),2024-02-23,120.0,140.0,130.0
Mushroom(Button),2024-02-23,300.0,350.0,325.0
Asparagus,2024-02-23,1500.0,1800.0,1650.0
Brocauli,2024-02-23,40.0,50.0,45.0
Sugarbeet,2024-02-23,60.0,70.0,66.67
Drumstick,2024-02-23,140.0,150.0,146.67
Red Cabbbage,2024-02-23,50.0,60.0,56.67
Lettuce,2024-02-23,70.0,80.0,76.67
Knolkhol,2024-02-23,60.0,70.0,65.0
Celery,2024-02-23,90.0,100.0,96.67
Parseley,2024-02-23,220.0,250.0,235.0
Fennel Leaf,2024-02-23,35.0,45.0,40.0
Mint,2024-02-23,220.0,250.0,235.0
Turnip A,2024-02-23,70.0,80.0,75.0
Tamarind,2024-02-23,140.0,150.0,146.67
Bamboo Shoot,2024-02-23,90.0,100.0,96.67
Tofu,2024-02-23,150.0,170.0,160.0
Gundruk,2024-02-23,250.0,300.0,275.0
Apple(Fuji),2024-02-23,300.0,350.0,325.0
Banana,2024-02-23,140.0,150.0,145.0
Lime,2024-02-23,250.0,300.0,275.0
Pomegranate,2024-02-23,280.0,300.0,290.0
Grapes(Green),2024-02-23,120.0,140.0,130.0
Grapes(Black),2024-02-23,180.0,200.0,190.0
Orange(Nepali),2024-02-23,160.0,180.0,170.0
Orange(Indian),2024-02-23,90.0,100.0,96.67
Water Melon(Green),2024-02-23,60.0,70.0,65.0
Sweet Orange,2024-02-23,140.0,150.0,145.0
Mandarin,2024-02-23,220.0,250.0,235.0
Pineapple,2024-02-23,180.0,200.0,190.0
Cucumber(Local),2024-02-23,150.0,160.0,155.0
Cucumber(Hybrid),2024-02-23,60.0,70.0,66.67
Jack Fruit,2024-02-23,110.0,120.0,116.67
Lemon,2024-02-23,50.0,60.0,56.67
Pear(Chinese),2024-02-23,220.0,250.0,235.0
Papaya(Nepali),2024-02-23,70.0,80.0,75.0
Papaya(Indian),2024-02-23,70.0,80.0,75.0
Guava,2024-02-23,140.0,160.0,150.0
Mombin,2024-02-23,100.0,120.0,110.0
Sugarcane,2024-02-23,80.0,90.0,85.0
Kinnow,2024-02-23,90.0,100.0,96.67
Strawberry,2024-02-23,200.0,300.0,250.0
Kiwi,2024-02-23,400.0,500.0,450.0
Avocado,2024-02-23,400.0,500.0,450.0
Amla,2024-02-23,70.0,80.0,76.67
Ginger,2024-02-23,200.0,220.0,210.0
Chilli Dry,2024-02-23,400.0,450.0,425.0
Chilli Green,2024-02-23,80.0,90.0,86.67
Chilli Green(Bullet),2024-02-23,80.0,90.0,86.67
Chilli Green(Machhe),2024-02-23,80.0,90.0,86.67
Chilli Green(Akbare),2024-02-23,250.0,300.0,275.0
Capsicum,2024-02-23,110.0,120.0,115.0
Garlic Green,2024-02-23,90.0,100.0,96.67
Coriander Green,2024-02-23,40.0,60.0,52.0
Garlic Dry Chinese,2024-02-23,280.0,300.0,292.0
Clive Dry,2024-02-23,180.0,200.0,190.0
Clive Green,2024-02-23,120.0,150.0,135.0
Fish Fresh(Rahu),2024-02-23,340.0,360.0,350.0
Fish Fresh(Bachuwa),2024-02-23,250.0,270.0,260.0
Fish Fresh(Chhadi),2024-02-23,240.0,280.0,260.0
Fish Fresh(Mungari),2024-02-23,350.0,370.0,360.0
Tree Tomato,2024-02-23,140.0,150.0,145.0
Tomato Big(Nepali),2024-02-22,50.0,60.0,55.0
Tomato Big(Indian),2024-02-22,60.0,70.0,65.0
Tomato Small(Local),2024-02-22,20.0,25.0,22.5
Tomato Small(Tunnel),2024-02-22,25.0,30.0,27.5
Tomato Small(Indian),2024-02-22,25.0,30.0,27.5
Tomato Small(Terai),2024-02-22,20.0,30.0,25.0
Potato Red,2024-02-22,32.0,35.0,34.0
Potato Red(Indian),2024-02-22,32.0,34.0,33.0
Onion Dry (Indian),2024-02-22,75.0,80.0,77.6
Carrot(Local),2024-02-22,30.0,40.0,35.0
Carrot(Terai),2024-02-22,25.0,30.0,27.5
Cabbage(Local),2024-02-22,30.0,40.0,35.0
Cabbage,2024-02-22,20.0,30.0,25.0
Cauli Local,2024-02-22,25.0,35.0,30.0
Cauli Local(Jyapu),2024-02-22,40.0,50.0,45.0
Cauli Terai,2024-02-22,20.0,30.0,25.0
Raddish Red,2024-02-22,35.0,40.0,37.5
Raddish White(Local),2024-02-22,30.0,35.0,32.5
Raddish White(Hybrid),2024-02-22,30.0,40.0,34.0
Brinjal Long,2024-02-22,50.0,60.0,55.0
Brinjal Round,2024-02-22,40.0,50.0,46.67
Green Peas,2024-02-22,100.0,120.0,110.0
Sword Bean,2024-02-22,90.0,100.0,96.67
Bitter Gourd,2024-02-22,140.0,150.0,145.0
Bottle Gourd,2024-02-22,60.0,70.0,65.0
Pumpkin,2024-02-22,50.0,60.0,55.0
Squash(Long),2024-02-22,60.0,70.0,65.0
Squash(Round),2024-02-22,60.0,70.0,66.67
Turnip,2024-02-22,70.0,80.0,75.0
Okara,2024-02-22,110.0,120.0,115.0
Sweet Potato,2024-02-22,60.0,70.0,65.0
Barela,2024-02-22,50.0,60.0,55.0
Arum,2024-02-22,90.0,100.0,96.67
Christophine,2024-02-22,40.0,50.0,45.0
Brd Leaf Mustard,2024-02-22,40.0,50.0,45.0
Spinach Leaf,2024-02-22,60.0,70.0,66.67
Cress Leaf,2024-02-22,60.0,70.0,66.67
Mustard Leaf,2024-02-22,30.0,40.0,35.0
Fenugreek Leaf,2024-02-22,60.0,70.0,66.67
Onion Green,2024-02-22,80.0,90.0,86.0
Bakula,2024-02-22,80.0,90.0,86.67
Yam,2024-02-22,70.0,80.0,73.33
Mushroom(Kanya),2024-02-22,100.0,130.0,118.0
Mushroom(Button),2024-02-22,350.0,400.0,375.0
Asparagus,2024-02-22,1500.0,2000.0,1750.0
Brocauli,2024-02-22,25.0,35.0,30.0
Sugarbeet,2024-02-22,60.0,70.0,65.0
Red Cabbbage,2024-02-22,50.0,60.0,56.67
Lettuce,2024-02-22,80.0,90.0,86.67
Knolkhol,2024-02-22,60.0,70.0,66.67
Celery,2024-02-22,80.0,100.0,90.0
Parseley,2024-02-22,220.0,250.0,235.0
Fennel Leaf,2024-02-22,60.0,70.0,66.67
Mint,2024-02-22,220.0,250.0,235.0
Turnip A,2024-02-22,70.0,80.0,76.67
Tamarind,2024-02-22,140.0,150.0,146.67
Bamboo Shoot,2024-02-22,90.0,100.0,96.67
Tofu,2024-02-22,150.0,170.0,160.0
Gundruk,2024-02-22,250.0,300.0,275.0
Apple(Fuji),2024-02-22,300.0,350.0,325.0
Banana,2024-02-22,130.0,150.0,140.0
Lime,2024-02-22,250.0,300.0,275.0
Pomegranate,2024-02-22,280.0,300.0,290.0
Grapes(Green),2024-02-22,120.0,150.0,135.0
Grapes(Black),2024-02-22,180.0,200.0,190.0
Orange(Nepali),2024-02-22,150.0,160.0,156.67
Orange(Indian),2024-02-22,90.0,100.0,96.67
Water Melon(Green),2024-02-22,60.0,70.0,63.33
Sweet Orange,2024-02-22,140.0,150.0,146.67
Mandarin,2024-02-22,220.0,250.0,235.0
Pineapple,2024-02-22,180.0,200.0,190.0
Cucumber(Local),2024-02-22,150.0,160.0,156.67
Cucumber(Hybrid),2024-02-22,60.0,70.0,65.0
Jack Fruit,2024-02-22,110.0,120.0,116.67
Lemon,2024-02-22,50.0,60.0,56.67
Pear(Chinese),2024-02-22,220.0,250.0,235.0
Papaya(Nepali),2024-02-22,70.0,80.0,76.67
Papaya(Indian),2024-02-22,70.0,80.0,76.67
Guava,2024-02-22,150.0,180.0,163.33
Mombin,2024-02-22,110.0,120.0,115.0
Kinnow,2024-02-22,90.0,100.0,96.67
Strawberry,2024-02-22,250.0,350.0,300.0
Kiwi,2024-02-22,400.0,500.0,450.0
Avocado,2024-02-22,400.0,500.0,450.0
Amla,2024-02-22,80.0,90.0,85.0
Ginger,2024-02-22,200.0,220.0,210.0
Chilli Dry,2024-02-22,420.0,460.0,440.0
Chilli Green,2024-02-22,90.0,100.0,95.0
Chilli Green(Bullet),2024-02-22,90.0,100.0,95.0
Chilli Green(Machhe),2024-02-22,80.0,90.0,86.67
Chilli Green(Akbare),2024-02-22,250.0,300.0,275.0
Capsicum,2024-02-22,110.0,120.0,115.0
Garlic Green,2024-02-22,100.0,120.0,113.33
Coriander Green,2024-02-22,40.0,60.0,50.0
Garlic Dry Chinese,2024-02-22,300.0,320.0,310.0
Clive Dry,2024-02-22,200.0,220.0,210.0
Clive Green,2024-02-22,100.0,120.0,110.0
Fish Fresh(Rahu),2024-02-22,340.0,360.0,350.0
Fish Fresh(Bachuwa),2024-02-22,250.0,270.0,260.0
Fish Fresh(Chhadi),2024-02-22,240.0,280.0,260.0
Fish Fresh(Mungari),2024-02-22,350.0,370.0,360.0
Tree Tomato,2024-02-22,140.0,150.0,146.67
Tomato Big(Nepali),2024-02-21,50.0,60.0,55.0
Tomato Big(Indian),2024-02-21,60.0,70.0,65.0
Tomato Small(Local),2024-02-21,25.0,30.0,27.5
